0 , 0 , 0 , 0 , 1
0 , 0 , 0 , 0 , 31
0 , 0 , 0 , 0 , 61
0 , 0 , 0 , 0 , 91
0 , 0 , 0 , 0 , 121
0 , 0 , 0 , 0 , 151
0 , 0 , 0 , 0 , 181
0 , 0 , 0 , 0 , 211
0 , 0 , 0 , 0 , 241
0 , 0 , 0 , 0 , 271
0 , 0 , 0 , 0 , 301
0 , 0 , 0 , 0 , 331
0 , 0 , 0 , 0 , 361
0 , 0 , 0 , 0 , 391
0 , 0 , 0 , 0 , 421
0 , 0 , 0 , 0 , 451
0 , 0 , 0 , 0 , 481
0.00195695 , 0 , 0.00195695 , 0.00195695 , 511
0.00184843 , 0 , 0.00184843 , 0.00184843 , 541
0.00175131 , 0 , 0.00175131 , 0.00175131 , 571
0.00166389 , 0 , 0.00166389 , 0.00166389 , 601
0.00158479 , 0 , 0.00158479 , 0.00158479 , 631
0.00151286 , 0 , 0.00151286 , 0.00151286 , 661
0.00144718 , 0 , 0.00144718 , 0.00144718 , 691
0.00138696 , 0 , 0.00138696 , 0.00138696 , 721
0.00133156 , 0 , 0.00133156 , 0.00133156 , 751
0.00128041 , 0 , 0.00128041 , 0.00128041 , 781
0.00123305 , 0 , 0.00123305 , 0.00123305 , 811
0.00118906 , 0 , 0.00118906 , 0.00118906 , 841
0.00114811 , 0 , 0.00114811 , 0.00114811 , 871
0.00110988 , 0 , 0.00110988 , 0.00110988 , 901
0.00107411 , 0 , 0.00107411 , 0.00107411 , 931
0.00104058 , 0 , 0.00104058 , 0.00104058 , 961
0.00100908 , 0 , 0.00201816 , 0.00100908 , 991
0.000979432 , 0 , 0.00195886 , 0.000979432 , 1021
0.000951475 , 0 , 0.00190295 , 0.000951475 , 1051
0.000925069 , 0 , 0.00185014 , 0.000925069 , 1081
0.00090009 , 0 , 0.00180018 , 0.00090009 , 1111
0.000876424 , 0 , 0.00175285 , 0.000876424 , 1141
0.000853971 , 0 , 0.00170794 , 0.000853971 , 1171
0.000832639 , 0 , 0.00166528 , 0.000832639 , 1201
0.000812348 , 0 , 0.0016247 , 0.000812348 , 1231
0.000793021 , 0 , 0.00158604 , 0.000793021 , 1261
0.000774593 , 0 , 0.00154919 , 0.000774593 , 1291
0.000757002 , 0 , 0.001514 , 0.000757002 , 1321
0.000740192 , 0 , 0.00148038 , 0.000740192 , 1351
0.000724113 , 0 , 0.00144823 , 0.000724113 , 1381
0.000708717 , 0 , 0.00141743 , 0.000708717 , 1411
0.000693963 , 0 , 0.00138793 , 0.000693963 , 1441
0.00067981 , 0 , 0.00135962 , 0.00067981 , 1471
0.000666223 , 0 , 0.00133245 , 0.000666223 , 1501
0.000653168 , 0 , 0.00130634 , 0.000653168 , 1531
0.000640615 , 0 , 0.00128123 , 0.00128123 , 1561
0.00125707 , 0 , 0.00125707 , 0.00125707 , 1591
0.00123381 , 0 , 0.00123381 , 0.00123381 , 1621
0.00121139 , 0 , 0.00121139 , 0.00121139 , 1651
0.00118977 , 0 , 0.00118977 , 0.00118977 , 1681
0.00175336 , 0 , 0.00116891 , 0.00116891 , 1711
0.00172315 , 0 , 0.00114877 , 0.00114877 , 1741
0.00169396 , 0 , 0.00112931 , 0.00112931 , 1771
0.00166574 , 0 , 0.00111049 , 0.00111049 , 1801
0.00163845 , 0 , 0.0010923 , 0.0010923 , 1831
0.00161204 , 0 , 0.00107469 , 0.00107469 , 1861
0.00158646 , 0.000528821 , 0.00105764 , 0.00105764 , 1891
0.00156169 , 0.000520562 , 0.00104112 , 0.00104112 , 1921
0.00153767 , 0.000512558 , 0.00102512 , 0.00102512 , 1951
0.00151439 , 0.000504796 , 0.00100959 , 0.00100959 , 1981
0.0014918 , 0.000497265 , 0.00099453 , 0.00099453 , 2011
0.00146987 , 0.000489956 , 0.000979912 , 0.000979912 , 2041
0.00144858 , 0.000482859 , 0.000965717 , 0.000965717 , 2071
0.00142789 , 0.000475964 , 0.000951928 , 0.000951928 , 2101
0.00140779 , 0.000469263 , 0.000938527 , 0.000938527 , 2131
0.00138825 , 0.000462749 , 0.000925497 , 0.000925497 , 2161
0.00136924 , 0.000456413 , 0.000912825 , 0.000912825 , 2191
0.00135074 , 0.000450248 , 0.000900495 , 0.000900495 , 2221
0.00133274 , 0.000444247 , 0.000888494 , 0.000888494 , 2251
0.00131521 , 0.000438404 , 0.000876808 , 0.000876808 , 2281
0.00129814 , 0.000432713 , 0.000865426 , 0.000865426 , 2311
0.0012815 , 0.000427168 , 0.000854336 , 0.000854336 , 2341
0.00126529 , 0.000421763 , 0.000843526 , 0.000843526 , 2371
0.00124948 , 0.000416493 , 0.000832986 , 0.000832986 , 2401
0.00123406 , 0.000411353 , 0.000822707 , 0.000822707 , 2431
0.00121902 , 0.000406339 , 0.000812678 , 0.000812678 , 2461
0.00120434 , 0.000401445 , 0.00080289 , 0.00080289 , 2491
0.00119 , 0.000396668 , 0.000793336 , 0.000793336 , 2521
0.00117601 , 0.000392003 , 0.000784006 , 0.000784006 , 2551
0.00116234 , 0.000387447 , 0.000774893 , 0.000774893 , 2581
0.00114899 , 0.000382995 , 0.00076599 , 0.00076599 , 2611
